".metric",".estimator","mean","n","std_err",".config","model","complexity"
"accuracy","binary",0.97781040891306,10,0.000528775760844945,"Preprocessor1_Model1","Logistic","all vars"
"roc_auc","binary",0.952557664119076,10,0.00267551042841665,"Preprocessor1_Model1","Logistic","all vars"
"accuracy","binary",0.974928416609201,10,0.00041318062683483,"Preprocessor1_Model1","Logistic","simple"
"roc_auc","binary",0.829693742696864,10,0.00595130626156771,"Preprocessor1_Model1","Logistic","simple"
"accuracy","binary",0.976910847586315,10,0.000577417801410321,"Preprocessor1_Model1","Logistic","intermediate"
"roc_auc","binary",0.943821220948431,10,0.00306608414699299,"Preprocessor1_Model1","Logistic","intermediate"
"accuracy","binary",0.974678513792088,10,0.00046174025898447,"Preprocessor1_Model1","LDA","simple"
"roc_auc","binary",0.82892311101657,10,0.00592919548589291,"Preprocessor1_Model1","LDA","simple"
"accuracy","binary",0.973529060750087,10,0.000591874002346112,"Preprocessor1_Model1","LDA","intermediate"
"roc_auc","binary",0.936010596558139,10,0.0027023922213568,"Preprocessor1_Model1","LDA","intermediate"
"accuracy","binary",0.970763685135107,10,0.000514242975535235,"Preprocessor1_Model1","LDA","all vars"
"roc_auc","binary",0.938944215825251,10,0.00211334350067986,"Preprocessor1_Model1","LDA","all vars"
"accuracy","binary",0.974095458102338,10,0.00048083932031578,"Preprocessor1_Model1","QDA","simple"
"roc_auc","binary",0.826274562213279,10,0.00597587066806972,"Preprocessor1_Model1","QDA","simple"
"accuracy","binary",0.944983602694932,8,0.000928048917038513,"Preprocessor1_Model1","QDA","intermediate"
"roc_auc","binary",0.883403761645129,8,0.0045553520358433,"Preprocessor1_Model1","QDA","intermediate"
"accuracy","binary",0.978360172906993,10,0.000605702176265563,"Preprocessor1_Model1","Random Forest","all vars"
"roc_auc","binary",0.955280882154351,10,0.00238223481829834,"Preprocessor1_Model1","Random Forest","all vars"
