trees,tree_depth,.metric,.estimator,mean,n,std_err,.config
500,1,rmse,standard,118.87464194585044,10,0.5000244726321761,Preprocessor1_Model01
1000,1,rmse,standard,117.5716636333843,10,0.4907048094968947,Preprocessor1_Model02
1500,1,rmse,standard,116.96585909789164,10,0.4888221892892689,Preprocessor1_Model03
500,2,rmse,standard,109.11866443107927,10,0.49930884424341715,Preprocessor1_Model04
1000,2,rmse,standard,106.48038397151905,10,0.4941098407139101,Preprocessor1_Model05
1500,2,rmse,standard,105.18663891754534,10,0.5003484483382343,Preprocessor1_Model06
500,3,rmse,standard,103.65706634715298,10,0.5512667752094987,Preprocessor1_Model07
1000,3,rmse,standard,101.2684112745024,10,0.5619888031552671,Preprocessor1_Model08
1500,3,rmse,standard,100.1074426977137,10,0.5714655315912883,Preprocessor1_Model09
500,4,rmse,standard,100.10876203642981,10,0.5625090977626948,Preprocessor1_Model10
1000,4,rmse,standard,98.16819053340534,10,0.5672454826018415,Preprocessor1_Model11
1500,4,rmse,standard,97.453531400812,10,0.5749110058720858,Preprocessor1_Model12
1000,5,rmse,standard,96.42564721248668,10,0.5221575637083085,Preprocessor1_Model1
1500,5,rmse,standard,96.15119905818081,10,0.5276597054358677,Preprocessor1_Model2
